season,week,celebrity_name,mean,std,cv,certainty,ci_low,ci_high,regime
14,5,Gavin DeGraw,1.0000015209076114e-08,2.0951802981054914e-14,2.0951771115346755e-06,0.9999979048272781,9.999999999999305e-09,1.0000062199830698e-08,percent
14,5,Gladys Knight,0.14016384052474234,0.0015527578998535642,0.0110781631984425,0.989043217822648,0.13783311844182625,0.14314071571291884,percent
14,5,Katherine Jenkins,0.11088930843122857,0.0025035834967244153,0.022577320862967504,0.9779211601877555,0.10610191131925882,0.11465589580448561,percent
14,5,Maria Menounos,0.11913687614698905,0.0014693022087911025,0.012332891849357394,0.9878173553890683,0.11637930480517446,0.12180145291093816,percent
14,6,William Levy,0.13302225733326592,0.001997908841824079,0.015019357526151723,0.9852028856250018,0.1303804367460776,0.13702699310338598,percent
14,6,Jaleel White,0.12899216743666037,0.001606221089843274,0.012452082337727865,0.9877010650133917,0.12630432823684032,0.13226245577947676,percent
14,6,Roshon Fegan,0.1629700944362185,0.0016620041553463845,0.010198215575047373,0.9899047380822762,0.16020936832381497,0.1650943006065082,percent
14,6,Melissa Gilbert,0.15601629531121539,0.002176852108503473,0.013952722721438623,0.9862392768333521,0.15261112300735807,0.15953475930583363,percent
14,6,Donald Driver,0.1407724274848568,0.0016738095974186433,0.011890180679016128,0.98824953447909,0.1379886329524956,0.14323486077739964,percent
14,6,Gladys Knight,1.0000003823560119e-08,5.69853881605619e-15,5.698536637186448e-07,0.9999994301466609,9.999999999999787e-09,1.0000015339249058e-08,percent
14,6,Katherine Jenkins,0.12197116016076878,0.001898417934822005,0.01556448206543024,0.9846740582796126,0.11839028454845471,0.12512292565468008,percent
14,6,Maria Menounos,0.15625558783701043,0.0018668930038310174,0.011947687949427868,0.9881933739345379,0.1532705887889629,0.15979697738930546,percent
14,7,William Levy,0.16548922547778863,0.0023354463341873437,0.014112376968619018,0.9860840107180194,0.16193100292857868,0.16941315355333783,percent
